id,review_scores_rating,number_of_reviews,name,description,neighborhood_overview,host_since,host_response_time,host_response_rate,latitude,longitude,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,distance_km
193463,4.79,252,Munich-Schwabing-  super-central & quiet-room,"Beautiful, comfortable, priv.,  very ! cheap, quiet large room ) , great central, exclusiv location on Munich- Maxvorstadt.   <br />No cooking ! -  Please read the entire listing page and the house rules below.","The apartment is located in the beautiful district of Schwabing-Maxvorstadt.     Universities, art galleries (museums) and all other museums are within walking distance.  Likewise, the fantastic English Garden, the Olympic Park, the exhibition grounds are all accessible by U2 subway, supermarket, bakeries for breakfast, cinema, many restaurants, indoor swimming pool, everything is within walking distance.  - It doesn't get any better and more convenient than that.",2011-08-08,within an hour,100%,48.155906677246094,11.572439193725586,1.0,1.0,1.0,117.0,3,7,2.0721814349058434
193477,4.81,104,"* Munich- Schwabing,  very pretty mini room *",- Super pretty very small  ! !  room. for private  one guest.  Perfect for short stays.  - Close to station   subway.  ( U 2 Josephsplatz ) -  (4 th floor without lift )<br /><br />No cooking <br /><br />Please read the entire listing page and the house rules.,"Very good transport connection. Maxvorstadt, - U2 / 3 minutes away.  Proximity to the English Garden, the art galleries (museums), both universities (TU + LMU) and the main station, all shopping. In the immediate vicinity, nice, good and inexpensive   restaurants.,",2011-08-08,within an hour,100%,48.15517425537109,11.56930160522461,1.0,1.0,1.0,46.0,3,4,2.0304588788377083
195293,4.72,78,Stylish Apartment No.24,Bright room,"Lots of shops, rerstaurants, cafes, others (fitness center, yoga, park, etc.)",2011-08-10,within an hour,100%,48.16438,11.56853,1.0,1.0,1.0,42.0,30,270,3.0458153833269423
195388,4.91,322,schöne 2-Zi-Wohnung für 4 Personen,"In our cozy and bright guest apartment, our guests can quickly feel comfortable. They will stay in a quiet location in Munich with a garden restaurant directly opposite, grocery stores in the immediate vicinity (about 400 m) and a very good connection to the city center by public transport",Quiet area and yet fast in the city center,2011-08-10,within a few hours,100%,48.10026,11.6068,1.0,1.0,2.0,156.0,2,30,4.738738748587439
195444,4.86,318,Modern room in ancient building,Almost all guests love the beautiful old town district and their easy going residents and also appreciate the feel-good atmosphere of the accommodation 😀,,2011-08-10,within a few hours,100%,48.12279,11.56028,1.0,1.0,6.0,155.0,4,10,1.9740958602145189
196265,4.82,79,"Cosy City Flat, 6min. old town, 16min. trade show","Situated in the heart of the old Au district on the beautiful Isar River, a few steps to the underground (6 min. to the old town) - the location is a key advantage of our cosy flat. Completely renovated in 2023, it shines in new splendour. High-quality oak floorboards invite you to dance. The kitchen boasts funky yellow colouring, the 1.60x2m sturdy bed, new mattresses and hygienic protector ensure restful nights. Fast internet is also available! We are looking forward to being your hosts!","Isarauen Nature Paradise is 2 minutes away. Several markets, drugstores around the corner. Cafes and restaurants as well.",2014-04-29,within an hour,100%,48.12093989704832,11.576968266475092,1.0,1.0,1.0,227.0,7,30,1.8314499696604596
197197,4.66,273,"Quiet room, own bath + entrance, 20 min to center","Quiet basement room with large windows, private bathroom, independent entrance, 20 minutes to city center. So almost a studio however without kitchen, but with water kettle and microwave.<br /><br />Public transport from Airport. Search for  stops ""Machtlfinger Strasse"", ""Marienstern"" or ""Spindlerplatz"" in google maps",Shops and restaurants are within walking distance.,2011-08-12,within an hour,100%,48.08972,11.51393,1.0,1.0,1.0,94.0,3,30,6.995374973469923
198990,4.9,20,Wohnen am Schloss Nymphenburg,"You can see the beautiful, magnificent Nymphenburg Palace as soon as you leave your own courtyard entrance :)<br /><br />I look forward to longer-term bookings (usually to seniors:)","The great castle with castle park.<br />The tram stop outside the front door.<br />The bakery house to have breakfast.<br />The butcher's host for urban treats.<br />The three very good ""Italian"" towards Nymphenburger Straße.<br />The two nice cafes in the castle and castle park.",2011-08-12,within an hour,100%,48.15797,11.51046,1.0,0.0,1.0,106.0,90,730,5.336855338479465
199066,4.88,476,COMFORTABLE ATTIC FLOOR DWELLING,,"The apartment is in the suburb of Harlaching, also called Gartenstadt, in the south of Munich. Shops and restaurants are within a few minutes. The Isar, the Perlacher Forest, the zoo and the Bavaria Film Studios are close by. After a few kilometers, you have the Alpine panorama in front of you. ",2011-08-15,within an hour,75%,48.09092,11.56088,1.0,2.0,6.0,95.0,2,14,5.2778242524667585
199099,4.76,46,cosy little aparment central in Munich,"The flat is situated on the first floor of an apartment building and covers approximately 50 m2. It has a large living/dining room (including TV), one bedroom, a bathroom and a small separate hall area. The bedroom has a double bed and there is a single bed and a pull-out sofa bed also available (a cot can also be provided on request). The kitchen is fully-equipped, with a cooker, fridge, dishwasher, microwave oven, cooffee machine and a kettle.<br />Non-Smoking-Apartment",The apartment is located in the Giesing district. There are all shops serving daily needs.,2011-08-15,within a few hours,100%,48.11511,11.59193,1.0,1.0,4.0,168.0,7,1125,2.762215817860128
199256,4.85,422,Nice room in super central location,,"5 minutes to subway, buses , trams<br />20 min. walk to Marienplatz <br />10 min Central Station<br />Around the corner all shopping , small restaurants",2011-08-15,within a few hours,100%,48.15017,11.56221,1.0,1.0,1.0,66.0,3,90,1.7280708221644667
199797,4.71,63,5 min. close to ENGLISCHER GARTEN,,,2011-08-16,within a day,67%,48.16618,11.58973,1.0,1.0,2.0,115.0,2,100,3.373494152637999
199828,4.5,6,PURE Luxury! Exclusive apartment,"Exclusive, bright, very modern and high-quality apartment in a top location. It has a beautiful west-facing balcony in a secluded location on the 4th floor with an elevator, a sophisticated system with an electric video doorbell surveillance system for each apartment.","Very central in trendy area but very quiet and protected. <br />Local,  museums, universities, everything is within walking distance.",2011-08-16,within a day,100%,48.15115,11.57403,1.0,1.0,0.0,83.0,60,730,1.5348443060997152
199840,4.79,67,Cheerful room in beautiful house,,,2011-08-16,within a few hours,100%,48.11712,11.67722,1.0,1.0,2.0,114.0,1,780,7.883018739210129
199843,3.6,5,Exclusive and trendy 3-room apartment,"Modern, exclusive and trendy furnished 3-room apartment with two bathrooms and elevator, in a lively area with a variety of restaurants and shops, within walking distance of the English Garden, the university, the center and Marienplatz, subway, S-Bahn and bus connections . Despite the lively surroundings, the apartment is quietly located in the garden area and has a spacious balcony that invites you to relax outside in the summer.","Maxvorstadt is one of the most exclusive and at the same time trendy neighborhoods, close to Ludwig Maximilians University, libraries, art academy, TU, pinakotheken, English garden, museums, Marienplatz, Stachus, all within walking distance",2011-08-16,within a day,100%,48.15054,11.57591,2.0,2.0,2.0,237.0,30,730,1.4638765587680855
200782,4.58,28,Happy room for happy responsible  Cohousing,"Beautiful,  room in super central location. <br />There is a wardrobe, desk, chair, 1 single bed<br />The room is calmly located to the green inner court. Wooden floors<br /><br />quiet shared apartment in a central location,<br />for people who live together responsibly,  value international CoHousing.<br />according to german laws 6 months, gladly also longer, <br />e.g. students, job starters, longer internships, language school semesters. <br />We are happy with  friendly, open-minded, communicative, <br />peaceful , respectful people","charming area, near to isar , young  and family area ,",2011-08-17,within a few hours,100%,48.12541,11.55147,1.0,1.0,1.0,150.0,1,360,2.221524110145493
200785,4.68,21,"Happy Double, central, green, Longterm only","due to german laws <br />we don’t do shortterm bookings since years, <br />I ‘m sorry for any inconveniences<br /><br />For shortterm stays in Germany you need commercial hosts, we‘re not. We can accept bookings 6 months and longer. If you’re looking for longterm stay’s pls feel free to send more details. Than also Registration is possible.","Green, quiet, serene, live & let live, care, mindfulness, backyard, ' happiness under the roof, young, Café Blue, Club Substanz, central , Oktoberfest, Theresienwiese, Isarpilharmonie, Gasteig 8, Volkstheater, close to Flaucher,",2011-08-17,within a few hours,100%,48.12598,11.55346,1.0,1.0,1.0,161.0,5,300,2.0656403459894594
200791,4.76,27,"Happy cosy room, 3 Stops to Center, longterm only","Welcome to Munich, enjoy  our beautifull City , recreation & Fun along the Isar in the  Bavarian Countryside.<br />I am only interested in 5* satisfaction for you and for us!  <br />Please instead a booking request simply send contact request with your wishes& details, making it smooth to clarify all in peace. <br />As soon as we agree, I will gladly send the appropriate offer for booking, <br />According to german laws we go for bookings 6 months + longer,short bookings are often problematic for private hosts","Green, happy, quiet, serene, live & let live, care, mindfulness, backyard, Happiness under the roof, young, Café Blue, Club Substanz, central , Oktoberfest, Theresienwiese, Isarpilharmonie, Gasteig 8, Volkstheater, close to Flaucher,",2011-08-17,within a few hours,100%,48.12407,11.55299,1.0,1.0,1.0,100.0,9,360,2.2283323613348305
200795,4.93,16,"Beautiful room in central location, longterm","Dear traveller, we're only interested in 5* satisfaction for you and for us!  <br />Please before booking request simply send contact request with your wishes, <br />this makes it much easier to clarify the details in peace, with time<br />As soon as we agree, I will gladly send the appropriate offer for booking,<br />According to German laws we look for bookings 6 months and longer, <br />this platform is unfortunately not ideal for this, short bookings are often problematic for private hosts by german laws.","quiet, student, central, family-friendly  area close to the Isar, Flaucher, <br />substance, Café Blue,",2011-08-17,within a few hours,100%,48.124,11.55192,1.0,1.0,1.0,170.0,1,500,2.293351919149064
201628,4.89,268,"Beautiful bright room, 8th Floor (with lift)","Renting a nice room in a 3-room-non-smoker-apartment in the 8th Floor of a high-rise building with great view over Munich (building has lift) Free Internet/WiFi. <br /><br />******************************************<br />*** The room is rented only to women, since the bathroom is shared. Sorry and thank you :-)<br />******************************************<br /><br />30 minutes to Marienplatz/City Centre (door to door) - ~70 minutes to Munich Airport)",,2011-08-18,within an hour,100%,48.12583,11.48152,1.0,1.0,1.0,73.0,1,14,7.08731823643754
201694,4.92,75,"Gemütlich, Küche, Bad, Schlafzimmer, gesamte Etage","Very cozy attic with private kitchen, bathroom, living room, bedroom (33 sqm) with satellite TV, view over the rooftops (2nd floor) of the quiet residential area of Ramersdorf-Perlach in the southeast of Munich. In summer, my small garden is ideal for relaxing/eating in the countryside. You will live together with me and my little dog in a semi-detached house, whereby the attic is lockable. There is no water connection in the kitchen, but there is a sink for dishes in the bathroom.","The residential area is very quiet, usually always like Sunday, but you are very quickly in the city center, at the Ostbahnhof, but also on the highway to Salzburg to the beautiful Bavarian lakes (Tegernsee, Schliersee, Kirchsee...)",2011-08-18,within an hour,100%,48.11322,11.62443,1.0,1.0,2.0,65.0,2,14,4.5210025124602735
202055,4.88,271,"10 Min zum Zentrum, ruhig, gemütlich",,"My apartment is only a 4 minutes walk to Leonrodplatz with tram lines 12, 20 and 21 and bus line 53. <br /><br />There are 2 supermarkets, dry cleaner's, a drugstore, 2 bakeries, a cafe and 6 restaurants (two Bavarian, two Italian, one Indian, one Greek) are within walking distance (3 - 7 minutes). <br /><br />The Olympic Park (ideal for joggers) with the Olympic Tower offering you an awesome view over Munich (and if the weather gods are with you even as far as to the Alps) is 15 minutes walking distance from my apartment. <br /><br />I can recommend a nice walk from my apartment to the Nymphenburg castle, which takes about 30 - 40 minutes.",2011-08-18,within an hour,86%,48.15883,11.54617,1.0,1.0,1.0,107.0,3,28,3.2255796334434543
202077,4.91,109,"klein aber fein, 10 Min zum Zentrum",,"My apartment is only a 4 minutes walk to Leonrodplatz with tram lines 12, 20 and 21 and bus line 53. <br /><br />There are 2 supermarkets, dry cleaner's, a drugstore, 2 bakeries, a cafe and 6 restaurants (two Bavarian, two Italian, one Indian, one Greek) are within walking distance (3 - 7 minutes). <br /><br />The Olympic Park (ideal for joggers) with the Olympic Tower offering you an awesome view over Munich (and if the weather gods are with you even as far as to the Alps) is 15 minutes walking distance from my apartment. <br /><br />I can recommend a nice walk from my apartment to the Nymphenburg castle, which takes about 30 - 40 minutes.",2011-08-18,within an hour,86%,48.15865,11.54134,1.0,1.0,1.0,107.0,3,28,3.4632189788568315
205381,4.7,733,Classic building apartment at Prinzregentenplaz,"Apartment with self-check-in for up to 6 guests in the central area of Munich, well connected to public transport and with a superb infrastructure in the neighborhood.","As for the infrastructure, within two hundred meters of the apartment you will find everything you need for daily needs. Numerous restaurants as well as two supermarkets can be found in the neighborhood.<br /><br /><br />My favorite restaurants close by are:<br /><br />- Meraki Restaurant (Greek) - Braystraße 22 <br />- Trattoria La Cucina (Italian): Neherstrasse 9<br />- Sushi Cent (Japanese): Schneckenburgerstraße 31<br />- Hüttenwirt (Bavarian): Richard-Strauss-Str.13<br />- Restaurant Kerala (Indian): Prinzregentenplatz 23<br />- Hofbräukeller (Bavarian): Innere Wiener Straße 19<br /><br />There are two supermarkets near the apartment, which are open until 8 pm:<br /><br />- EDEKA Prinzregent at Zaubzerstraße 11, Munich. It is closer to the apartment.<br />- EDEKA Simmel at Einsteinstraße 130, Munich. It's further, but it has the best assortment for that.",2011-08-23,within an hour,100%,48.13909,11.60832,1.0,3.0,4.0,409.0,1,1125,2.447411880076653
205393,4.71,623,Comfortable apartment with self-check-in.,"Apartment with self-check-in (no personal contact and thus Corona Virus safe!) in the central area of Munich, well connected to public transport and with a superb infrastructure in the neighborhood.","As for the infrastructure, within two hundred meters of the apartment you will find everything you need for daily needs. Numerous restaurants as well as two supermarkets can be found in the neighborhood.<br /><br /><br />My favorite restaurants close by are:<br /><br />- Meraki Restaurant (Greek) - Braystraße 22 <br />- Trattoria La Cucina (Italian): Neherstrasse 9<br />- Sushi Cent (Japanese): Schneckenburgerstraße 31<br />- Hüttenwirt (Bavarian): Richard-Strauss-Str.13<br />- Restaurant Kerala (Indian): Prinzregentenplatz 23<br />- Hofbräukeller (Bavarian): Innere Wiener Straße 19<br /><br />There are two supermarkets near the apartment, which are open until 8 pm:<br /><br />- EDEKA Prinzregent at Zaubzerstraße 11, Munich. It is closer to the apartment.<br />- EDEKA Simmel at Einsteinstraße 130, Munich. It's further, but it has the best assortment for that.",2011-08-23,within an hour,100%,48.13909,11.60832,1.0,1.0,1.0,107.0,1,1125,2.447411880076653
205401,4.64,908,Modern apartment with self-check-in.,"Modern apartment with self-check-in (no personal contact and thus Corona Virus safe!) for up to 4 guests in the central area of Munich, well connected to public transport and with a superb infrastructure in the neighborhood.","As for the infrastructure, within two hundred meters of the apartment you will find everything you need for daily needs. Numerous restaurants as well as two supermarkets can be found in the neighborhood.<br /><br /><br />My favorite restaurants close by are:<br /><br />- Meraki Restaurant (Greek) - Braystraße 22 <br />- Trattoria La Cucina (Italian): Neherstrasse 9<br />- Sushi Cent (Japanese): Schneckenburgerstraße 31<br />- Hüttenwirt (Bavarian): Richard-Strauss-Str.13<br />- Restaurant Kerala (Indian): Prinzregentenplatz 23<br />- Hofbräukeller (Bavarian): Innere Wiener Straße 19<br /><br />There are two supermarkets near the apartment, which are open until 8 pm:<br /><br />- EDEKA Prinzregent at Zaubzerstraße 11, Munich. It is closer to the apartment.<br />- EDEKA Simmel at Einsteinstraße 130, Munich. It's further, but it has the best assortment for that.",2011-08-23,within an hour,100%,48.13909,11.60832,1.0,1.0,1.0,218.0,1,1125,2.447411880076653
205415,4.54,848,Family apartment in best location,"Apartment with self-check-in (no personal contact and thus Corona Virus safe!) for up to 6 guests in the central area of Munich, well connected to public transport and with a superb infrastructure in the neighborhood.","As for the infrastructure, within two hundred meters of the apartment you will find everything you need for daily needs. Numerous restaurants as well as two supermarkets can be found in the neighborhood.<br /><br /><br />My favorite restaurants close by are:<br /><br />- Meraki Restaurant (Greek) - Braystraße 22 <br />- Trattoria La Cucina (Italian): Neherstrasse 9<br />- Sushi Cent (Japanese): Schneckenburgerstraße 31<br />- Hüttenwirt (Bavarian): Richard-Strauss-Str.13<br />- Restaurant Kerala (Indian): Prinzregentenplatz 23<br />- Hofbräukeller (Bavarian): Innere Wiener Straße 19<br /><br />There are two supermarkets near the apartment, which are open until 8 pm:<br /><br />- EDEKA Prinzregent at Zaubzerstraße 11, Munich. It is closer to the apartment.<br />- EDEKA Simmel at Einsteinstraße 130, Munich. It's further, but it has the best assortment for that.",2011-08-23,within an hour,100%,48.13909,11.60832,1.0,2.0,4.0,323.0,1,1125,2.447411880076653
205431,4.58,990,New York style apartment in Munich,"Modern apartment with self-check-in (no personal contact and thus Corona Virus safe!) for up to 6 guests in the central area of Munich, well connected to public transport and with a superb infrastructure in the neighborhood.","Located in the Westend district, one of the most traditional neighborhoods of Munich, originally an area of workers, it is now an increasingly appreciated area of the city, this apartment offers you an ideal place to spend your vacation or business trip to Munich.",2011-08-23,within an hour,100%,48.13661,11.53075,1.0,2.0,3.0,332.0,1,1125,3.317208739882753
206288,4.88,142,"modern, bright & quiet in Giesing","modern, bright & quiet in Giesing",,2011-08-24,within an hour,100%,48.11008,11.59345,1.0,0.0,2.0,321.0,10,180,3.316876084164314
210348,4.51,94,one  quiet nice room in a condo in central munich,"i am offering a room with a french bed,  sunny loggia on the 4rth floor without elevator in my appartment, with shared bathroom and kitchen,  check in only according to our arrangement between 12am until 10pm","the river isar is close where people relax and swim, and new in-bars opened like a ship on a bridge the ""alte utting"" whith  a bar/café on deck, close is the electro club ""Bahnwärter Thiel"" in a train waggon, a beer bar with fresh brewed munich beer is only 200 meters...",2011-08-30,within an hour,83%,48.12401,11.56119,1.5,1.0,1.0,133.0,2,14,1.8242566948453982
211374,4.81,232,"Close to trade fair and subway, 15 min. to center","The apartment is located in the immediate vicinity of the Munich Trade Fair Center and International Congress Center and is suitable for trade fair visitors and exhibitors. But tourists are also very welcome, because the subway is close to the house and it only takes about 15-20 minutes to get to the city center. In a few steps you can walk to a beautiful park with a swimming lake and a large shopping center. There is no kitchen. Good subway connection to Oktoberfest, approx. 20 minutes.","I created a guidebook where you can see all important places close to my house, e. g. shops, places where you can have breakfast, restaurants etc. I especially recommend the beautiful park (Riemer Park) which is very close to my house where you can relax, walk, swim, play beach volley ball etc. <br /><br />I think my room is perfect for trade fair visitors, because they can walk to the Munich fairground. <br /><br />But if you are a tourist you are also welcome. You need only approx. 15 minutes to go to the center of the city by subway. On the one hand you can stay in a very quiet region of Munich, where you can relax (e. g. go to the park and walk and swim there) and sleep well and on the other hand you need only 15 minutes to go to the center of the city by subway where you can visit the important sights.",2011-08-30,within an hour,100%,48.13176610787099,11.702565103769302,1.0,1.0,2.0,122.0,1,14,9.454693256084655
213707,4.83,53,"Stylish, Spacious, Top location!",,"A vibrant area, walking distance to Marienplatz and the centre, cafes and restaurants. Close to the river for jogging.",2011-09-02,a few days or more,0%,48.12926,11.57135,1.0,2.0,2.0,432.0,3,365,0.9523771364854793
216529,4.83,23,"Charming, central, quiet 2.5 room flat Haidhausen","Charming, bright apartment with wooden floors and high ceilings in a representative, detached old building with small garden. Beautifully located in a fantastic spot in the French Quarter of Haidhausen: Quiet, yet very central with public transportation well attainable. Beautiful river Isar, cafes, bakeries and supermarkets are just around the corner. Fully furnished with flat screen TV, hi-fi, washing machine and completely equipped kitchen. Enjoy staying at this pleasant home!","Fantastic location in idyllic French Quarter of Haidhausen: Haidhausen is a quiet quarter, yet there are a huge variety of restaurants, cafes and pubs. The apartment is quietly situated at traffic-free Preysingplatz with its neoromanic brickstone church. The most beautiful French bistro in town is right next to it. You will easily find everything you need for daily life: bakeries, supermarkets, organic food stores, banks, farmacies, weekly markets and many more.<br />The cultural center Gasteig with its varied classic and modern offers is just around the corner. Deutsches Museum is within 10 minutes of walking distance. The river Isar with its spacious parks is just 200 meters away and invites you to go for a walk or a little run. You can also walk over to Wiener Platz with its small market stalls, the Maypole and the Hofbräukeller, one of the most beautiful beer gardens in Munich.",2009-09-09,within an hour,100%,48.13072,11.59324,1.0,1.0,1.0,388.0,5,45,1.5144515373371934
217148,4.89,119,"ruhiges helles Zi, verkehrsgünstig","on the 2nd floor, 15 sqm",,2011-08-10,within an hour,100%,48.19329,11.53275,1.0,1.0,1.0,26.0,14,360,6.976732710195051
217313,4.96,26,Munich City Big House+garden near Westpark,"House+garden for 6 or 7 persons!<br />Many public transport.<br />For holidays and  for international ""Messe"" ,international exhibitions.<br />Near Westpark and Theresienwiese . (Oktoberfest)",The Westpark is beautifull.There are many <br />activities.<br />Very quiet.,2011-09-07,within a few hours,100%,48.12735,11.51318,3.0,5.0,7.0,855.0,5,21,4.7529961957543945
218080,4.69,54,Modern apartment in Haidhausen,,,2011-08-30,within a day,100%,48.12356,11.5955,1.0,1.0,1.0,45.0,90,725,2.1396250378852937
218860,4.87,64,nice apartment near fairground,,,2011-08-30,a few days or more,0%,48.11953,11.64244,1.0,2.0,4.0,222.0,2,30,5.354231614553865
223439,5.0,4,Private Room in Munich City Center,,,2011-08-30,within an hour,100%,48.12894,11.56384,1.5,7.0,0.0,343.0,1,3,1.2733005936753092
225414,4.67,18,Flat incl. garden in Munich,,,2011-09-18,within a few hours,100%,48.07739,11.51349,1.0,1.0,2.0,224.0,2,730,8.10251975488761
225421,4.42,234,Very quiet apartment in a peaceful city quarter,,,2011-09-18,within an hour,100%,48.08084,11.55063,1.0,1.0,1.0,139.0,2,365,6.551089503934691
227106,4.73,83,Modern and quiet apartment,,Very quiet residential area with lots of trees.,2011-08-30,within an hour,100%,48.11064,11.70094,1.0,1.0,1.0,135.0,2,90,9.778369892098087
227892,4.93,62,"Room at Trade Fair - own entrance, kitchen, bath","Ideal not only for trade fair guests: bright basement room in ""Messestadt"" with bathroom, kitchen corner and separate entrance. Modern, completely equipped, perfectly connected (U2) and directly at the park.",,2011-09-21,within a day,100%,48.12988,11.7017,1.0,1.0,2.0,166.0,3,14,9.407072907290688
228721,4.9,11,Room in 2-Room -Apartment,"22 square meter room in nice and central city- apartment (60 sq m) in the first floor (The quarter is called Au). Kitchen, floor and bathroom shall be in shared utilization.",,2011-09-22,within a day,100%,48.12085,11.57736,1.0,1.0,2.0,82.0,5,40,1.8434487506738206
228867,4.47,36,"CityHome | Central 2BR Apartment, Prime Location","In the heard of Munich. The entire city on foot !<br />6 spacious holiday aptments, 2 rooms, 75 m2, up to 4 sleeps (king size bed in the bedroom, queen size sofa bed in the living room). Optional with chargeable AC in the bedroom. (Please specify when making an inquiry!)<br />Chargeable parking available!<br />Few minutes to central station and the centre. 50 m to subway. Comfortably equipped. LCD-TV, WiFi. With dishwasher, microwave. Washing machine + dryer in the anteroom. Hair dryer, bedsheets and towels.","4 spacious holiday aptments, 2 rooms, 75 m2, up to 4 sleeps. Complete, friendly and modern in central location. Few minutes to central station and the centre. 50 m to subway Königsplatz. Comfortably equipped. LCD-TV, WLAN. Kitchen with dishwasher, microwave, washing machine + dryer, hair dryer, bedsheets and towels, underground garage available! The apt. is located in a central peaceful location between the central station and Königsplatz on the 3rd floor. Lift. Due to the good connection between the subway and urban train connection by the central station (5 min. on foot), subway, tram Dachauer/Karlstr. and through the central and peaceful location in the Munich City, it is the ideal starting point to discover the city (also on foot). The surrounding infrastructure is perfect. Stores for daily needs, restaurants and cafes are just a few minutes away.",2011-08-30,within a few hours,90%,48.14468,11.56131,1.0,1.0,2.0,395.0,2,90,1.3258996885654568
232430,4.84,90,Modern loft apartment,,"Within 500 meters there are various restaurants (Italian, Greek, Indian, Asian) as well as a supermarket, pharmacies, various bakeries and butchers.",2011-09-17,within an hour,100%,48.11636,11.6986,1.0,1.0,2.0,215.0,3,120,9.43524604161057
240218,4.82,77,Directly loc.t.t. fiera& Metro,,- Fair Munich is very clos<br />-U-Bahn is very close<br />-Park With bathing lake right outside the house.<br />-Very Quiet.<br />-Large Shopping center nearby.,2011-08-30,within a few hours,100%,48.12775,11.7013,1.0,1.0,1.0,102.0,2,729,9.40171820287216
252987,4.93,42,"Beautiful, modern & quiet apartment in Schwabing","A beautiful, modern & quiet apartment with stylish furniture in the heart of Schwabing.","Schwabing, English Garden",2011-08-30,within a day,100%,48.15943,11.58208,1.0,1.0,1.0,203.0,2,730,2.5010083774525063
266180,4.89,224,room near Nymphenburg castle ground,Small Room with everything you need for a shorttime trip in a green sourrounding and good connection to public transport system (Pasing train station 10 min to city) - free parking,Pasing-Obermenzing - Good and fast connection to the city and yet quiet and green living with free parking ...,2011-11-11,within an hour,100%,48.15560959507555,11.47189009900693,1.0,1.0,1.0,66.0,2,7,7.945405222503123
278289,4.63,95,"15 min to centre, 5 min to M.O.C",,,2011-11-29,within a few hours,100%,48.19247,11.61328,1.0,1.0,1.0,95.0,3,8,6.738186213549161
